text,timestamp,likes,retweets,replies
"I created a Claude Skill that make beautiful slides on the web. The world hasn't woken up to the fact that code can create much better slides than most PPT tools. Claude interviews you first about aesthetics, then generate a few directions to ""show not tell"", and you can pick",2026-01-28T02:28:44.000Z,4.6K,346,140
"A Harvard student told me something I can't stop thinking about. When they go to the library, every single screen has ChatGPT open. Homework that used to take hours now takes minutes. But then they talk to alums who say entry-level roles are basically gone. The jobs they were training for are being automated.",2025-11-06T19:11:21.000Z,22K,2.6K,657
"Harvard and Stanford students tell me their professors don't understand AI and the courses are outdated. If elite schools can't keep up, the credential arms race is over. Self-learning is the only way now.",2025-10-14T15:06:08.000Z,6.8K,1K,642
"I suggested to the student that ChatGPT, Claude, Gemini all have a ""learning mode"" now where the AI can guide you to arrive at your own conclusions instead of telling you the answer straight up. But it seems the awareness of these features are low",2025-11-07T01:23:20.000Z,2.2K,156,40
"We built TLDW (too long, didn't watch), a tool that helps you learn from long YouTube videos better & faster. AI video summaries are solving the wrong problem. You don't need a generic text summary of a 1-hour video. You need the 5 minutes that actually change how you think.",2025-10-20T20:31:28.000Z,2.1K,242,197
The reason why mobile internet in China developed faster than in the West,2018-05-18T01:06:00.000Z,793,439,13
"I spent 8 years away from X because it felt like noise. When I came back 6 months ago for AI, my feed was full of clickbait and topics I no longer cared about. So I did something most people don't do: I intentionally shaped my algorithm. Every time X pushed clickbait at me, I told it not interested.",2025-10-18T15:03:47.000Z,674,68,87
"Sometimes a video is so high-signal, you feel like taking notes all the time. So we make it easy in TLDW: select any lines in the transcript, and convert them into notes with one click. (or get AI to explain it if you don't get it) @karpathy's interview is one of those videos",2025-10-25T16:52:50.000Z,451,30,21
"Tried turning my X timeline into an AI podcast, where 2 AI hosts read each tweet and then discuss it. I could listen to this every day. Would you listen to this?",2025-10-17T00:00:00.000Z,,,
"I used Claude to build this insane dashboard for my X account: Visualizes total followers over time, Lists my top 10 posts of all time, Discusses why they went viral, Analyzes my unique content positioning & ""content-market fit"", Gives me new ideas & drafts for future posts",2026-02-15T00:00:00.000Z,,,
"This OpenAI blog is a must-read. Don't ask what your agents can do for you. Ask what you can do for your agent",2026-03-05T00:00:00.000Z,,,
"Here's how I use @perplexity_ai's @PerplexityComet browser to learn Japanese from YouTube videos. AI browsers are a game-changer for language learning.",2025-07-15T00:00:00.000Z,,,
"""Do good work, consistently, over a long period of time"". An obvious but massively undervalued truth",2025-04-10T00:00:00.000Z,,,
